1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,2000WSPRRC1721S,110070557869.0,SUPERIOR CONCRETE MATERIALS INC. - WASHINGTON,1721 S CAPITOL ST SW,WASHINGTON,DISTRICT OF COLUMBIA,DC,20003,,,38.86853,-77.00906,NAD83,US CONCRETE INC,059313952,SMYRNA READY MIX LLC,,,,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1323222314092,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616.0,NO,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,190.0,,PRODUCTION,1.24
2023,20011FRTTT5001F,110002007916.0,FORT TOTTEN READY MIX CONCRETE,5001 FORT TOTTEN DR NE,WASHINGTON,DISTRICT OF COLUMBIA,DC,20011,,,38.951389,-77.007403,NAD83,HOLCIM PARTICIPATIONS (US) INC,081260273,HOLCIM PARTICIPATIONS (US) INC,HOLCIM LTD.,,HOLCIM LTD,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1323221879303,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616.0,NO,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,0.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,0.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,,PRODUCTION,0.61
2023,20332BLLNG20MAC,110002321434.0,JOINT BASE ANACOSTIA BOLLING RANGES,20 MACDILL BLVD SW,WASHINGTON,DISTRICT OF COLUMBIA,DC,20032,,,38.845557,-77.00953,NAD83,US DEPARTMENT OF DEFENSE,,US DEPARTMENT OF DEFENSE,,,,YES,999,Other,,,,,,,928110,,,,,,1323221710623,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,381.0,0.0,0.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,,ACTIVITY,1.03
2023,2001WFRTMY1155W,110070057847.0,FORT MYER CONSTRUCTION PLANT 2,1155 W ST NE,WASHINGTON,DISTRICT OF COLUMBIA,DC,20018,,,38.91917,-76.990467,NAD83,,,FORT MYER CONSTRUCTION CORP,,,,NO,324,Petroleum,,,,,,,324121,,,,,,1323221877741,Polycyclic aromatic compounds,NO,N590,N590,649749.0,YES,PBT,NO,Non_Metal,YES,YES,NO,R,Pounds,0.0,59.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.64,0.0,0.0,59.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.64,,PRODUCTION,1.03
2023,20315SCDLC5900M,110000500841.0,US ARMY CORPS OF ENGINEERS DALECARLIA WTP,5900 MACARTHUR BLVD NW,WASHINGTON,DISTRICT OF COLUMBIA,DC,20016,,,38.9382,-77.1139,NAD83,,,US DEPARTMENT OF DEFENSE,,,,YES,999,Other,,,,,,,221310,,,,,,1323222305827,Ammonia,NO,0007664417,7664-41-7,152389.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,76.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,ACTIVITY,0.96
2023,2000WVRGNC2SSTR,110055188425.0,VIRGINIA CONCRETE-SOUTHWEST DC PLANT,2 S ST SW,WASHINGTON,DISTRICT OF COLUMBIA,DC,20003,,,38.86822,-77.00917,NAD83,VULCAN MATERIALS CO,805344798,SMYRNA READY MIX LLC,,,,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1323222354817,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616.0,NO,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,190.0,,PRODUCTION,1.24
2023,20011FRTTT5001F,110002007916.0,FORT TOTTEN READY MIX CONCRETE,5001 FORT TOTTEN DR NE,WASHINGTON,DISTRICT OF COLUMBIA,DC,20011,,,38.951389,-77.007403,NAD83,HOLCIM PARTICIPATIONS (US) INC,081260273,HOLCIM PARTICIPATIONS (US) INC,HOLCIM LTD.,,HOLCIM LTD,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1323221879315,Lead  And Lead Compounds,YES,N420,N420,650002.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.009,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.018,0.0,0.0,0.0,0.0,7.82,0.0,0.0,0.0,7.838,,PRODUCTION,0.61
2023,2001WFRTMY1155W,110070057847.0,FORT MYER CONSTRUCTION PLANT 2,1155 W ST NE,WASHINGTON,DISTRICT OF COLUMBIA,DC,20018,,,38.91917,-76.990467,NAD83,,,FORT MYER CONSTRUCTION CORP,,,,NO,324,Petroleum,,,,,,,324121,,,,,,1323221877739,"Benzo[g,h,i]perylene",NO,0000191242,191-24-2,40576.0,YES,PBT,NO,Non_Metal,NO,YES,NO,R,Pounds,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,,PRODUCTION,1.03
2023,20001SCMCM2500F,110000500832.0,US ARMY CORPS OF ENGINEERS MCMILLAN WTP WASHINGTON AQUEDUC,2500 FIRST ST NW,WASHINGTON,DISTRICT OF COLUMBIA,DC,20001,,,38.92237,-77.01215,NAD83,US DEPARTMENT OF DEFENSE,,US DEPARTMENT OF DEFENSE,,,,YES,999,Other,,,,,,,221310,,,,,,1323222304178,Copper compounds,NO,N100,N100,649491.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8672.0,0.0,0.0,0.0,0.0,8672.0,29.666,0.0,29.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.666,8701.666,0.0,0.0,8672.0,21.359,8.306,0.0,0.0,0.0,0.0,0.0,0.0,8701.666,,ACTIVITY,1.17
2023,20228BRFNG14THC,110017347879.0,US DEPARTMENT OF THE TREASURY-BUREAU OF ENGRAVING & PRINTING,14TH & C ST SW,WASHINGTON,DISTRICT OF COLUMBIA,DC,20228,,,38.8856,-77.0322,NAD83,,,US DEPARTMENT OF THE TREASURY,,,,YES,323,Printing,,,,,,,323111,332813.0,,,,,1323221775467,Nickel compounds,NO,N495,N495,650036.0,YES,TRI,YES,Metal complound categories,YES,NO,NO,R,Pounds,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.162,0.0,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.64,0.0,0.0,0.0,0.0,0.0,193.802,0.0,18000.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18193.802,193.902,0.0,0.0,0.1,193.64,0.162,0.0,0.0,0.0,18000.0,0.0,0.0,18193.902,,PRODUCTION,0.82
