1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,8521WTMSNT11444,110069311462.0,TMS INTERNATIONAL LLC.,11444 E GERMANN RD,MESA,MARICOPA,AZ,85212,,,33.2774,-111.58858,NAD83,TMS INTERNATIONAL CORP,614394299,TMS INTERNATIONAL CORP,,,,NO,562,Hazardous Waste,,,,,,,562920,,,,,,1323222014615,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),YES,N090,N090,649475.0,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,,PRODUCTION,3.3
2023,8522WBLLST11NHA,110070337756.0,STEELFAB INC. (CHARLOTTE),1100 N HAMILTON ST,CHANDLER,MARICOPA,AZ,85225,,,33.32298,-111.83288,NAD83,STEELFAB INC,,STEELFAB INC,,,,NO,332,Fabricated Metals,,,,,,,332312,,,,,,1323221911959,Chromium,NO,0007440473,7440-47-3,150060.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,3.209,1.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16159.75,0.0,0.0,0.0,16159.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16159.75,5.181,0.0,0.0,5.181,0.0,0.0,0.0,0.0,0.0,16159.75,0.0,0.0,16164.931,,,
2023,85210STHWS539SD,110041611672.0,SOUTHWEST DISTRIBUTING CO.,539 S DREW ST,MESA,MARICOPA,AZ,85210,,,33.405,-111.8325,NAD83,,,SOUTHWEST DISTRIBUTING CO,,,,NO,325,Chemicals,,,,,,,325991,,,,,,1323221602168,Ethylene glycol,NO,0000107211,107-21-1,24257.0,YES,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,85009CNYNS264N3,110031002251.0,WEST DIRECT OIL #41 PHX,2640 N 31ST AVE.,PHOENIX,MARICOPA,AZ,85009,,,33.47831,-112.12572,NAD83,WEST DIRECT OIL,114992008,WEST DIRECT OIL,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323222049177,Benzene,NO,0000071432,71-43-2,4754.0,YES,TRI,NO,Non_Metal,YES,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,8535WBLLMT151WP,110070716393.0,BALL METAL BEVERAGE CONTAINER CORP,15101 W PEORIA AVE,WADDELL,MARICOPA,AZ,85355,,,33.580453,-112.385106,NAD83,BALL CORP,006419147,BALL CORP,,,,NO,332,Fabricated Metals,,,,,,,332431,,,,,,1323221822087,Hydrogen fluoride,NO,0007664393,7664-39-3,152371.0,YES,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,8522WTRXND6519W,110069310926.0,TRIAX INDUSTRIES LLC,6519 W ALLISON RD,CHANDLER,MARICOPA,AZ,85226,614.0,"Gila River Indian Community of the Gila River Indian Reservation, Arizona",33.288184,-111.954728,NAD83,,,,,,,NO,333,Machinery,,,,,,,333611,,,,,,1323221575549,Nickel,NO,0007440020,7440-02-0,149674.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29400.0,0.0,0.0,0.0,29400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29400.0,0.0,0.0,29400.0,,PRODUCTION,2.0
2023,85365GWNCM12300,110000471800.0,GOWAN MILLING LLC,12300 E COUNTY 8TH ST,YUMA,YUMA,AZ,85365,,,32.714974,-114.42382,NAD83,,,GOWAN MILLING LLC,,,,NO,325,Chemicals,,,,,,,325320,,,,,,1323221738558,Thiophanate-methyl,NO,0023564058,23564-05-8,224261.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.64,0.0,0.0,0.0,0.0,858.64,0.0,858.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.64,858.64,,PRODUCTION,1.17
2023,85282SCHRB2122S,110000471524.0,SCHREIBER FOODS INC,2122 S HARDY DR,TEMPE,MARICOPA,AZ,85282,,,33.405683,-111.95216,NAD83,SCHREIBER FOODS INC,002812865,SCHREIBER FOODS INC,,,,NO,311,Food,,,,,,,311513,,,,,,1323222129278,Nitric acid,NO,0007697372,7697-37-2,152686.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98019.0,0.0,98019.0,,PRODUCTION,1.0
2023,85281LTTNS1215S,110000471427.0,L3HARRIS TECHNOLOGIES INC,1215 S 52ND ST,TEMPE,MARICOPA,AZ,85281,,,33.41418,-111.96951,NAD83,L3HARRIS TECHNOLOGIES INC,004203337,L3HARRIS TECHNOLOGIES INC,,,,NO,334,Computers and Electronic Products,,,,,,,334419,,,,,,1323221932181,Lead  And Lead Compounds,YES,N420,N420,650002.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,41.7,0.0,41.7,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.7,156.59,0.0,0.0,5.89,26.271,124.429,0.0,0.0,0.0,0.0,0.0,0.0,156.59,,PRODUCTION,1.01
2023,8504WSPCLP1545E,110071325266.0,LIGHTING RESOURCES LLC,1545 E VICTORY ST,PHOENIX,MARICOPA,AZ,85040,,,33.415754,-112.047655,NAD83,LIGHTING RESOURCES LLC,790413074,LIGHTING RESOURCES LLC,,,,NO,562,Hazardous Waste,,,,,,,562920,,,,,,1323221966599,Mercury compounds,NO,N458,N458,650028.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94736.0,0.0,0.0,0.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94736.0,0.0,0.0,94736.0,,ACTIVITY,1.65
