1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,0605WSHRTP29IND,110070069326.0,SHURTAPE TECHNOLOGIES LLC,29 INDUSTRIAL PARK RD,NEW HARTFORD,LITCHFIELD,CT,6057,,,41.88169,-72.9747,NAD83,STM INC.,007717424,STM INC,,,,NO,322,Paper,,,,,,,322220,,,,,,1323221782156,Propylene,NO,0000115071,115-07-1,29009.0,NO,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,06770DNHMC15EAS,110000317327.0,UNIMETAL SURFACE FINISHING LLC,15 E WATERBURY RD,NAUGATUCK,NEW HAVEN,CT,6770,,,41.50552,-73.02424,NAD83,,,UNIMETAL SURFACE FINISHING LLC,,,,NO,332,Fabricated Metals,,,,,,,332813,,,,,,1323222223719,Copper  And Copper Compounds,YES,N100,N100,649491.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,48.96,0.0,48.96,0.0,5655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5703.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5703.96,5708.96,0.0,0.0,5.0,48.96,5655.0,0.0,0.0,0.0,0.0,0.0,0.0,5708.96,,ACTIVITY,1.0
2023,06787QLTYR135SO,110000317434.0,UNIMETAL SURFACE FINISHING LLC,135 S MAIN ST,THOMASTON,LITCHFIELD,CT,6787,,,41.66935,-73.07774,NAD83,UNIMETAL SURFACE FINISHING LLC,,UNIMETAL SURFACE FINISHING LLC,,,,NO,332,Fabricated Metals,,,,,,,332813,,,,,,1323222223986,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616.0,NO,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4864.0,4864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,4878.0,0.0,4878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4878.0,4878.0,,ACTIVITY,1.0
2023,06852KNGNDSCIEN,110064856204.0,KING INDUSTRIES INC,SCIENCE RD,NORWALK,FAIRFIELD,CT,6852,,,41.108491,-73.41271,NAD83,,,,,,,NO,325,Chemicals,,,,,,,325199,,,,,,1323222283006,Zinc compounds,NO,N982,N982,649699.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,3.5,0.0,3.5,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.0,0.0,0.0,912.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.5,954.5,0.0,0.0,42.0,0.0,912.5,0.0,0.0,0.0,0.0,0.0,0.0,954.5,,PRODUCTION,1.21
2023,06801KNTHL119WO,110000317577.0,SANDVIK WIRE AND HEATING TECHNOLOGIES,119 WOOSTER ST.,BETHEL,FAIRFIELD,CT,68010281,,,41.38355,-73.41989,NAD83,SANDVIK INC,,SANDVIK INC,,,,NO,331,Primary Metals,,,,,,,331222,331221.0,,,,,1323221808138,Nickel,NO,0007440020,7440-02-0,149674.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.946,0.0,2.946,0.0,0.0,12.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,24.277,0.0,166830.0,0.0,0.0,0.0,166830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166854.277,29.277,0.0,0.0,5.0,9.0,15.277,0.0,0.0,0.0,166830.0,0.0,0.0,166859.277,,PRODUCTION,0.95
2023,06492MRCNCSOUTH,110050813978.0,ALLNEX USA INC. WALLINGFORD CT SITE,528 SOUTH CHERRY STREET,WALLINGFORD,NEW HAVEN,CT,6492,,,41.435,-72.836389,NAD83,ALLNEX USA INC,078786182,ALLNEX USA INC,PTTGC INTERNATIONAL (NETHERLANDS) B.V.,,PTTGC INTERNATIONAL (NETHERLANDS) BV,NO,325,Chemicals,,,,,,,325211,,,,,,1323222327342,Ammonia,NO,0007664417,7664-41-7,152389.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,38.0,1057.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,251.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,1259.0,0.0,0.0,1221.0,38.0,0.0,0.0,0.0,0.0,251.0,7533.0,0.0,9043.0,,PRODUCTION,0.84
2023,06512NRTHS481ES,110000491977.0,SHELL NEW HAVEN TERMINAL,481 E SHORE PKWY,NEW HAVEN,NEW HAVEN,CT,6512,,,41.290439,-72.900798,NAD83,SHELL PETROLEUM INC,131489817,SHELL PETROLEUM INC,SHELL PLC,423792808,SHELL PLC,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323221827520,Cyclohexane,NO,0000110827,110-82-7,27003.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,166.0,1204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1370.0,0.0,0.0,1370.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1371.0,,PRODUCTION,1.09
2023,0681WFDRLC3312P,110028992204.0,FEDERAL CORRECTIONAL INSTITUTION,331/2 PEMBROKE ROAD,DANBURY,FAIRFIELD,CT,6810,,,41.437692,-73.468948,NAD83,,,US DEPARTMENT OF JUSTICE,,,,YES,999,Other,,,,,,,922140,,,,,,1323221730157,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,,,
2023,06473LBRCH55DEF,110000316391.0,ULBRICH WIRE INC,55 DEFCO PARK RD,NORTH HAVEN,NEW HAVEN,CT,6473,,,41.41865,-72.84637,NAD83,ULBRICH STAINLESS STEELS & SPECIAL METALS INC,001162171,ULBRICH STAINLESS STEELS & SPECIAL METALS INC,,,,NO,331,Primary Metals,,,,,,,331222,,,,,,1323222114415,Manganese,NO,0007439965,7439-96-5,149625.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.41,1351.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.41,0.0,0.0,1351.41,,PRODUCTION,0.98
2023,06430RGRSCMILLA,110000607978.0,SUMITOMO BAKELITE N.A. INC,24 MILL ST,MANCHESTER,HARTFORD,CT,6042,,,41.79708,-72.51701,NAD83,,,,,,,NO,325,Chemicals,,,,,,,325991,,,,,,1323222213581,Tetrabromobisphenol A,NO,0000079947,79-94-7,8045.0,YES,PBT,NO,Non_Metal,NO,YES,NO,R,Pounds,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.1,0.0,0.0,0.1,53.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,201.1,,PRODUCTION,1.43
