1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,50441MPRLN1280I,110011558073.0,OMNIUM,1280 IMPERIAL RD,HAMPTON,FRANKLIN,IA,50441,,,42.72891,-93.22767,NAD83,LAND O LAKES INC,179462197,LAND O LAKES INC,,,,NO,325,Chemicals,,,,,,,325320,,,,,,1323221600606,S-Ethyl dipropylthiocarbamate,NO,0000759944,759-94-4,69252.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4572.0,0.0,0.0,0.0,0.0,0.0,4572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4572.0,4580.0,0.0,0.0,8.0,4572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4580.0,,PRODUCTION,1.0
2023,52404HGHWY13376,110013713801.0,HIGHWAY EQUIPMENT CO,1330 76TH AVE SW,CEDAR RAPIDS,LINN,IA,52404,,,41.90542,-91.68925,NAD83,,,,,,,NO,333,Machinery,,,,,,,333111,333120.0,,,,,1323221750286,Nickel,NO,0007440020,7440-02-0,149674.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,6.3,13.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.17,4.66,0.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,113.66,0.0,0.0,0.0,0.0,21047.0,21047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21160.66,133.83,0.0,0.0,20.17,4.66,109.0,0.0,0.0,0.0,21047.0,0.0,0.0,21180.83,,PRODUCTION,0.92
2023,51041DMNDVINDUS,110000414043.0,DIAMOND VOGEL INC.,1020 ALBANY PL SE,ORANGE CITY,SIOUX,IA,51041,,,42.994105,-96.058161,NAD83,DIAMOND VOGEL INC,878228352,DIAMOND VOGEL INC,,,,NO,325,Chemicals,,,,,,,325510,,,,,,1323222276646,Ethylbenzene,NO,0000100414,100-41-4,19406.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,5.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121694.0,0.0,121694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121694.0,740.0,0.0,0.0,740.0,0.0,0.0,0.0,121694.0,67758.0,0.0,0.0,0.0,190192.0,,ACTIVITY,1.25
2023,51250SXLND389GA,110010829078.0,SIOUXLAND ENERGY COOPERATIVE,3890 GARFIELD AVE,SIOUX CENTER,SIOUX,IA,51250,,,43.08446,-96.23038,NAD83,,,,,,,NO,325,Chemicals,,,,,,,325193,,,,,,1323221764994,Acrolein,NO,0000107028,107-02-8,24075.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,20.27,124.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.88,0.0,0.0,144.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.88,,PRODUCTION,1.03
2023,52742GRDNN300S5,110017403745.0,GUARDIAN INDUSTRIES - DEWITT,300 S 5TH AVE E,DE WITT,CLINTON,IA,52742,,,41.81333,-90.52444,NAD83,KOCH INDUSTRIES INC,006944334,KOCH INDUSTRIES INC,,,,NO,327,Nonmetallic Mineral Product,,,,,,,327211,,,,,,1323222182848,Lead compounds,NO,N420,N420,650002.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.0,4.38,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.548,0.009,0.0,0.009,0.0,65.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,66.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.079,70.626,0.0,0.0,4.548,0.909,65.17,0.0,0.0,0.0,0.0,0.0,0.0,70.626,,PRODUCTION,0.99
2023,52162NRPLXNECOU,110000414739.0,INDUSTRIAL LAMINATES/NORPLEX INC,665 LYBRAND ST,POSTVILLE,ALLAMAKEE,IA,52162,,,43.09011,-91.5549,NAD83,INDUSTRIAL DIELECTRICS INC,967329314,INDUSTRIAL DIELECTRICS INC,,,,NO,326,Plastics and Rubber,,,,,,,326130,,,,,,1323221687294,"N,N-Dimethylformamide",NO,0000068122,68-12-2,4416.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,336.0,47553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6854.0,0.0,6854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6854.0,47889.0,0.0,0.0,47889.0,0.0,0.0,0.0,6854.0,0.0,0.0,0.0,0.0,54743.0,,ACTIVITY,0.63
2023,5003WCNTRL2143K,110070232695.0,CENTRAL IOWA READY MIX,2143 KNEZEVICH RD,BOONE,BOONE,IA,50036,,,42.05705,-93.85587,NAD83,RASSMUSSEN GROUP,,RASMUSSEN GROUP,,,,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1323221540812,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,234.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,,PRODUCTION,1.05
2023,50659TRMRK500BA,110011274922.0,TRIMARK CORP,500 BAILEY AVE,NEW HAMPTON,CHICKASAW,IA,50659,,,43.06412,-92.33075,NAD83,,,,,,,NO,332,Fabricated Metals,,,,,,,332510,,,,,,1323221605746,Nickel,NO,0007440020,7440-02-0,149674.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PRODUCTION,1.05
2023,52722BRTNS20436,110000415569.0,BARTON SOLVENTS INC BETTENDORF,204 36TH ST,BETTENDORF,SCOTT,IA,52722,,,41.52476,-90.48279,NAD83,,,BARTON SOLVENTS INC,,,,NO,4246,Chemical Wholesalers,,,,,,,424690,,,,,,1323222293526,Methyl isobutyl ketone,NO,0000108101,108-10-1,24851.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,3.47,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.76,0.0,96.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.76,8.57,0.0,0.0,8.57,0.0,0.0,0.0,96.76,903.39,0.0,0.0,0.0,1008.72,,ACTIVITY,1.08
2023,51102SXLND2301B,110000414169.0,VALMONT COATINGS INC DBA SIOUXLAND GALVANIZING CORP.,2301 BRIDGEPORT DR,SIOUX CITY,WOODBURY,IA,51111,,,42.431,-96.38075,NAD83,VALMONT INDUSTRIES INC,,VALMONT INDUSTRIES INC,,,,NO,332,Fabricated Metals,,,,,,,332812,,,,,,1323222335224,Zinc compounds,NO,N982,N982,649699.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,98.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8020.0,0.0,0.0,0.0,0.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,9140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9140.0,9415.0,0.0,0.0,275.0,9140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9415.0,,PRODUCTION,0.9
