1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,83837SNSHN1176B,110017860117.0,SUNSHINE SILVER MINE,2209 BIG CREEK RD,KELLOGG,SHOSHONE,ID,83837,,,47.508709,-116.024196,NAD83,SILVER OPPORTUNITY PARTNERS LLC,,SILVER OPPORTUNITY PARTNERS LLC,,,,NO,2122,Metal Mining,,,,,,,212220,,,,,,1323221621079,Arsenic,NO,0007440382,7440-38-2,149989.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PRODUCTION,0.25
2023,83851PLMMR7321T,110022811876.0,STIMSON LUMBER CO PLUMMER OPERATION,732 10TH ST,PLUMMER,BENEWAH,ID,83851,181.0,Coeur D'Alene Tribe,47.3281,-116.889485,NAD83,STIMSON LUMBER CO,009048604,STIMSON LUMBER CO,,,,NO,321,Wood Products,,,,,,,321113,,,,,,1323221760388,Lead compounds,NO,N420,N420,650002.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.0,354.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.03,0.0,0.0,354.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.03,,PRODUCTION,0.76
2023,83415SDDHNLINCO,110017424679.0,US DOE IDAHO NATIONAL LABORATORY SITE,LINCOLN BLVD,SCOVILLE,BUTTE,ID,83415,,,43.572224,-112.933334,NAD83,US DEPARTMENT OF ENERGY,,US DEPARTMENT OF ENERGY,,,,YES,999,Other,,,,,,,541715,924110.0,336992.0,562211.0,562910.0,,1323222321010,Chromium,NO,0007440473,7440-47-3,150060.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,76.511,6.16,0.0,0.0,0.0,0.0,0.0,0.0,8851.678,9.037,0.0,0.0,0.002,74.128,9017.518,0.0,0.0,0.0,0.0,2620.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5466.21,7567.731,0.0,0.0,6.499,0.0,0.0,15661.073,0.0,53.989,0.001,0.0,0.0,53.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15715.062,24678.59,0.0,149.88,161.719,5499.149,2627.131,0.0,0.0,0.0,53.99,0.0,0.0,8491.869,16240.711,ACTIVITY,1.09
2023,83415SDDHNLINCO,110017424679.0,US DOE IDAHO NATIONAL LABORATORY SITE,LINCOLN BLVD,SCOVILLE,BUTTE,ID,83415,,,43.572224,-112.933334,NAD83,US DEPARTMENT OF ENERGY,,US DEPARTMENT OF ENERGY,,,,YES,999,Other,,,,,,,541715,336992.0,924110.0,562910.0,562211.0,,1323222321287,Mercury,NO,0007439976,7439-97-6,149633.0,YES,PBT,YES,Elemental metals,NO,YES,NO,R,Pounds,0.271,7.535,0.0,0.0,0.0,0.0,0.0,0.0,1.789,0.0,0.0,0.0,0.0,0.007,9.602,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.602,0.0,0.0,0.001,0.0,0.0,16.61,0.0,0.502,0.0,0.0,0.0,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.112,26.212,0.0,0.0,7.728,16.121,0.008,0.0,0.0,0.0,0.502,0.0,0.0,24.36,2.354,ACTIVITY,0.79
2023,83687GRTWS1717E,110000468663.0,DUBOIS CHEMICALS INC. - NAMPA ID,1717 E FARGO AVE.,NAMPA,CANYON,ID,83687,,,43.601317,-116.549572,NAD83,DUBOIS CHEMICALS INC,828235445,DUBOIS CHEMICALS INC,,,,NO,325,Chemicals,,,,,,,325180,,,,,,1323222174308,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616.0,NO,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2697.2,24274.8,26972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27835.0,0.0,0.0,0.0,30532.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24274.8,0.0,54807.0,30532.2,0.0,0.0,0.0,0.0,30532.2,0.0,0.0,0.0,0.0,0.0,24274.8,54807.0,,ACTIVITY,1.86
2023,8350WHWLLM815DS,110060261069.0,FREEDOM MUNITIONS LLC,815 D ST,LEWISTON,NEZ PERCE,ID,83501,,,46.42117,-117.02297,NAD83,,,FERNANDEX HOLDINGS INC,,,,NO,332,Fabricated Metals,,,,,,,332992,,,,,,1323222279364,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.55,0.0,31.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,0.0,656.55,0.0,13750.0,0.0,0.0,0.0,13750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14406.55,656.55,0.0,0.0,0.0,656.5,0.05,0.0,0.0,0.0,13750.0,0.0,0.0,14406.55,,PRODUCTION,1.2
2023,83333RCKYM1030A,110015679194.0,ROCKY MOUNTAIN HARDWARE INC. (HAILEY),1020 AIRPORT WAY,HAILEY,BLAINE,ID,83333,,,43.51173,-114.30644,NAD83,ROCKY MOUNTAIN HARDWARE INC,,ROCKY MOUNTAIN HARDWARE INC,,,,NO,332,Fabricated Metals,,,,,,,332510,,,,,,1323221789757,Copper  And Copper Compounds,YES,N100,N100,649491.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.1,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.0,0.0,1085.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.2,1091.3,0.0,0.0,6.1,0.0,1085.2,0.0,0.0,6200.0,0.0,0.0,0.0,7291.3,,PRODUCTION,1.15
2023,83501BLNTN150SO,110000468477.0,FEDERAL CARTRIDGE CO-SOUTHPORT,180 SOUTHPORT AVE,LEWISTON,NEZ PERCE,ID,83501,,,46.365266,-117.035162,NAD83,VISTA OUTDOOR,079331239,VISTA OUTDOOR INC,,,,NO,332,Fabricated Metals,,,,,,,332992,,,,,,1323222044277,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,785.0,0.0,0.0,849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.0,858.0,0.0,0.0,9.0,61.0,788.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,,PRODUCTION,1.0
2023,8371WSNRCC1988J,110059780866.0,SUNROC CORP - JOPLIN FACILITY,10988 JOPLIN ROAD,BOISE,ADA,ID,83714,,,43.667592,-116.317084,NAD83,CLYDE COS INC.,063560986,CLYDE COS INC,,,,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1323222342762,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,,PRODUCTION,1.02
2023,83845MCRCYW4000,110070864120.0,REAL ALLOY RECYCLING LLC,16168 W PRAIRIE AVE,POST FALLS,KOOTENAI,ID,83854,,,47.74528,-117.00398,NAD83,REAL ALLOY HOLDING LLC,081241691,REAL ALLOY HOLDING LLC,,,,NO,331,Primary Metals,,,,,,,331314,,,,,,1323221902721,Aluminum (fume or dust),NO,0007429905,7429-90-5,149476.0,NO,TRI,NO,Metals with qualifiers,NO,NO,NO,R,Pounds,1492.0,2954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184524.0,0.0,0.0,0.0,0.0,0.0,0.0,184524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184524.0,188970.0,0.0,0.0,4446.0,184524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188970.0,,PRODUCTION,0.92
