1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,6108WWHLCL29NLC,110001367501.0,WAHL CLIPPER CORP,2900 N. LOCUST,STERLING,WHITESIDE,IL,61081,,,41.817322,-89.696107,NAD83,,,,,,,NO,335,Electrical Equipment,,,,,,,335210,,,,,,1323222176632,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23228.0,0.0,0.0,0.0,23228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23228.0,0.0,0.0,23228.0,,PRODUCTION,0.8
2023,6252WVNRTR69EKE,110039018470.0,VOESTALPINE RAILWAY SYSTEMS NORTRAK LLC,690 E. KENWOOD AVE.,DECATUR,MACON,IL,62526,,,39.86795,-88.94918,NAD83,,,,,,,NO,331,Primary Metals,,,,,,,331513,,,,,,1323221693245,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,61.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.014,62.014,0.0,0.0,1.0,61.0,0.014,0.0,0.0,488.72,0.0,0.0,0.0,550.734,,PRODUCTION,1.22
2023,60434MCCHM12MIL,110038932411.0,INEOS JOLIET LLC,23425 AMOCO RD,CHANNAHON,WILL,IL,60410,,,41.445541,-88.174049,NAD83,INEOS ENTERPRISES US HOLDCO LLC,117765655,INEOS ENTERPRISES US HOLDCO LLC,INEOS ENTERPRISES HOLDINGS NEWCO LTD,221719262,INEOS LTD,NO,325,Chemicals,,,,,,,325194,,,,,,1323221817897,Methanol,NO,0000067561,67-56-1,4283.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,677.0,3113.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3796.0,0.0,0.0,3796.0,0.0,0.0,0.0,0.0,0.0,0.0,86563.0,0.0,90359.0,,PRODUCTION,0.79
2023,60007PNDST1250M,110000428975.0,CHEM-PLATE INDUSTRIES,1250 MORSE AVENUE,ELK GROVE VILLAGE,COOK,IL,60007,,,42.000543,-87.968221,NAD83,CHEM-PLATE INDUSTRIES INC,094739208,CHEM-PLATE INDUSTRIES INC,,,,NO,332,Fabricated Metals,,,,,,,332813,,,,,,1323222274072,Nitric acid,NO,0007697372,7697-37-2,152686.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,20588.0,0.0,21060.0,,ACTIVITY,1.08
2023,60434MBLJLINTER,110000595339.0,EXXONMOBIL OIL CORP JOLIET REFINERY,25915 S FRONTAGE RD,CHANNAHON,WILL,IL,60410,,,41.413831,-88.18346,NAD83,EXXON MOBIL CORP,001213214,EXXON MOBIL CORP,,,,NO,324,Petroleum,,,,,,,324110,,,,,,1323222230599,Cyclohexane,NO,0000110827,110-82-7,27003.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,88.3,88.1,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.5,0.0,0.0,194.5,0.0,0.0,0.0,0.0,0.0,0.0,47.06,0.0,241.56,,PRODUCTION,1.0
2023,62526DMCRN4666F,110050297936.0,ADM DECATUR COMPLEX,4666 FARIES PKWY E,DECATUR,MACON,IL,625265666,,,39.863648,-88.883624,NAD83,ARCHER DANIELS MIDLAND CO,001307586,ARCHER DANIELS MIDLAND CO,,,,NO,311,Food,,,,,,,311119,,,,,,1323222206447,Lead compounds,NO,N420,N420,650002.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ACTIVITY,1.0
2023,62040PRCTM25NOR,110003064567.0,PRECOAT METALS,25 NORTHGATE IND US TRIAL DR,GRANITE CITY,MADISON,IL,62040,,,38.74631,-90.12951,NAD83,AZZ INC,,AZZ INC,,,,NO,332,Fabricated Metals,,,,,,,332812,,,,,,1323221762937,"1,2,4-Trimethylbenzene",NO,0000095636,95-63-6,16261.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,7575.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,303.0,0.0,10006.0,10006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10309.0,8126.0,0.0,0.0,8126.0,0.0,0.0,123824.0,10006.0,0.0,303.0,275165.0,0.0,417424.0,,PRODUCTION,1.06
2023,60419SFTYK633E1,110000432489.0,SAFETY-KLEEN SYSTEMS,633 E 138TH ST,DOLTON,COOK,IL,60419,,,41.6445,-87.6062,NAD83,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,,,,NO,562,Hazardous Waste,,,,,,,562211,562920.0,,,,,1323222285710,Cyclohexane,NO,0000110827,110-82-7,27003.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10727.0,0.0,10727.0,0.0,1356.91,0.0,0.0,0.0,0.0,1356.91,0.0,12083.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10727.0,381393.0,0.0,0.0,1356.91,393476.91,,PRODUCTION,0.63
2023,62274GSMTL3764L,110018102621.0,COOPER B-LINE INC PINCKNEYVILLE ILLINOIS,3764 LONGSPUR RD,PINCKNEYVILLE,PERRY,IL,62274,,,38.085494,-89.359592,NAD83,EATON CORP,004155818,EATON CORP,,,,NO,332,Fabricated Metals,,,,,,,332312,,,,,,1323222380608,Nickel,NO,0007440020,7440-02-0,149674.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,116.0,,ACTIVITY,0.32
2023,61360JHNBW524EU,110000437750.0,JOHN A. BIEWER OF ILLINOIS,524 E UNION ST,SENECA,LASALLE,IL,61360,,,41.310374,-88.595067,NAD83,JOHN A BIEWER LUMBER CO,058821770,BIEWER LUMBER LLC,,,,NO,321,Wood Products,,,,,,,321114,,,,,,1323221535887,Copper compounds,NO,N100,N100,649491.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
