1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,0106WCNNLL25TEX,110003479290.0,O'CONNELL OIL NORTHAMPTON FACILITY,25 TEXAS ROAD,NORTHAMPTON,HAMPSHIRE,MA,1060,,,42.30884,-72.64336,NAD83,O'CONNELL OIL ASSOCIATES INC,,O'CONNELL OIL ASSOCIATES INC,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323221555511,Hydrogen sulfide,NO,0007783064,7783-06-4,154518.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88,11.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88,13.37,0.0,0.0,1.49,0.0,11.88,0.0,0.0,0.0,0.0,0.0,0.0,13.37,,PRODUCTION,0.84
2023,01453NVCRC31FUL,110017620047.0,TEKNOR APEX ELASTOMERS INC.,33 FULLER ST,LEOMINSTER,WORCESTER,MA,1453,,,42.51536,-71.75069,NAD83,TEKNOR APEX CO,045367968,TEKNOR APEX CO,,,,NO,326,Plastics and Rubber,,,,,,,326299,,,,,,1323221634266,Zinc compounds,NO,N982,N982,649699.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,68.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717.0,0.0,0.0,0.0,0.0,0.0,0.0,1718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718.0,1790.9,0.0,0.0,72.9,1717.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1790.9,,ACTIVITY,0.6
2023,0160WTRCBX15CPP,110043939539.0,TRICAB,15 COPPAGE DR,WORCESTER,WORCESTER,MA,1603,,,42.26114,-71.8695,NAD83,,,,TRICAB,,,NO,332,Fabricated Metals,,,,,,,332618,,,,,,1323222107587,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,63138.0,0.0,0.0,0.0,63138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63171.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,63138.0,0.0,0.0,63171.0,,PRODUCTION,1.0
2023,02780WTRSC177RO,110000312073.0,WATERS TECHNOLOGY CORP,177 ROBERT TREAT PAINE DR,TAUNTON,BRISTOL,MA,2780,,,41.95257,-71.13507,NAD83,WATERS CORP,867704355,WATERS CORP,,,,NO,325,Chemicals,,,,,,,325180,,,,,,1323222125953,Methanol,NO,0000067561,67-56-1,4283.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,185.0,13630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692084.0,0.0,692084.0,0.0,0.0,0.0,0.0,17229.0,0.0,17229.0,0.0,709313.0,13815.0,0.0,0.0,13815.0,0.0,0.0,0.0,692084.0,0.0,0.0,33370.0,17229.0,756498.0,,PRODUCTION,0.98
2023,01562FLXCNSOUTH,110000772753.0,FLEXCON CO INC.,S SPENCER RD,SPENCER,WORCESTER,MA,1562,,,42.23265,-72.01162,NAD83,,,FLEXCON CO INC,,,,NO,326,Plastics and Rubber,,,,,,,326113,,,,,,1323221867839,Toluene,NO,0000108883,108-88-3,25452.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,291.0,7636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152470.0,0.0,152470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152470.0,7927.0,0.0,0.0,7927.0,0.0,0.0,0.0,152470.0,0.0,0.0,671482.0,0.0,831879.0,,PRODUCTION,0.83
2023,01432NSYFD1NEWE,110000308710.0,NASOYA FOODS USA LLC.,1 NEW ENGLAND WAY,AYER,MIDDLESEX,MA,1432,,,42.562573,-71.533697,NAD83,PULMUONE FOODS USA,783368314,PULMUONE FOODS USA,,,,NO,311,Food,,,,,,,311999,,,,,,1323221892666,Nitric acid,NO,0007697372,7697-37-2,152686.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,315.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,62255.0,0.0,62570.0,,PRODUCTION,0.98
2023,01757BNJMN49SUM,110041973941.0,BENJAMIN MOORE & CO-MILFORD,49 SUMNER ST,MILFORD,WORCESTER,MA,1757,,,42.14703,-71.51707,NAD83,BERKSHIRE HATHAWAY INC,001210715,BERKSHIRE HATHAWAY INC,,,,NO,325,Chemicals,,,,,,,325510,,,,,,1323222182495,Vinyl acetate,NO,0000108054,108-05-4,24828.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,3.06,10.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.52,0.0,0.0,13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.52,,PRODUCTION,0.88
2023,01220PFZRN260CO,110000308523.0,SPECIALTY MINERALS INC,260 COLUMBIA ST,ADAMS,BERKSHIRE,MA,1220,,,42.6432,-73.1135,NAD83,MINERALS TECHNOLOGIES INC,796929313,MINERALS TECHNOLOGIES INC,,,,NO,327,Nonmetallic Mineral Product,,,,,,,327410,212312.0,,,,,1323222329916,"Benzo[g,h,i]perylene",NO,0000191242,191-24-2,40576.0,YES,PBT,NO,Non_Metal,NO,YES,NO,R,Pounds,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.035,0.0,0.0,0.03,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.035,,PRODUCTION,0.65
2023,02184CLNHR385QU,110001940311.0,CLEAN HARBORS OF BRAINTREE INC.,ONE HILL AVENUE,BRAINTREE,NORFOLK,MA,2184,,,42.235969,-70.97286,NAD83,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,,,,NO,562,Hazardous Waste,,,,,,,562211,,,,,,1323222033870,"Benzo[g,h,i]perylene",NO,0000191242,191-24-2,40576.0,YES,PBT,NO,Non_Metal,NO,YES,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.002,321.046,0.0,0.0,0.0,0.0,0.0,347.15,0.0,0.0,7.121,0.0,0.0,7.121,10.382,0.0,10.382,0.0,12.068,0.0,5.64,1.0,0.0,18.709,0.0,383.361,347.15,0.0,0.0,0.0,347.047,0.102,0.0,10.382,0.0,7.121,0.0,18.709,383.361,,PRODUCTION,1.01
2023,01453CMCMN165PI,110030818596.0,HIGHLINE WARREN LLC,163 PIONEER DR,LEOMINSTER,WORCESTER,MA,1453,,,42.531387,-71.70778,NAD83,HIGHLINE WARREN LLC,117893277,HIGHLINE WARREN LLC,,,,NO,325,Chemicals,,,,,,,325612,,,,,,1323221888338,Ethylene glycol,NO,0000107211,107-21-1,24257.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,83.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,470.0,,PRODUCTION,4.75
