1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,49016WLDRF177AN,110000408942.0,WESTROCK CO,177 ANGELL ST,BATTLE CREEK,CALHOUN,MI,49037,,,42.32335,-85.20758,NAD83,WESTROCK CO,081092578,WESTROCK CO,,,,NO,322,Paper,,,,,,,322130,,,,,,1323221945431,Lead  And Lead Compounds,YES,N420,N420,650002.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,1.08,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,129.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.08,129.52,0.0,0.0,0.44,128.68,0.4,0.0,0.0,0.0,0.0,0.0,0.0,129.52,,PRODUCTION,1.0
2023,48430KLSYH9475C,110009599229.0,ZF,9475 CENTER RD,FENTON,LIVINGSTON,MI,48430,,,42.7369,-83.76806,NAD83,ZF N.A. INC,325919421,ZF NORTH AMERICA INC,,,ZF FRIEDRICHSHAFEN AG,NO,332,Fabricated Metals,,,,,,,332999,,,,,,1323221671617,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0,0.0,0.0,0.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0,0.0,0.0,6800.0,,ACTIVITY,1.0
2023,48174GMCCP36880,110000493984.0,GM - ROMULUS ENGINE OPERATIONS,36880 ECORSE RD,ROMULUS,WAYNE,MI,48174,,,42.25217,-83.3996,NAD83,GENERAL MOTORS LLC,831247536,GENERAL MOTORS LLC,,,,NO,336,Transportation Equipment,,,,,,,336310,,,,,,1323221700697,Chromium,NO,0007440473,7440-47-3,150060.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402,0.0,0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,800.402,0.0,2600.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.402,800.402,0.0,0.0,0.0,800.0,0.1,0.0,0.0,0.0,2600.0,0.0,0.0,3400.1,,PRODUCTION,1.26
2023,49464HXCLC215CE,110000411206.0,AURORIUM LLC - ZEELAND,215 N CENTENNIAL ST,ZEELAND,OTTAWA,MI,49464,,,42.815845,-86.00946,NAD83,AURORIUM HOLDINGS LLC,079345019,AURORIUM PPC HOLDINGS LLC,,,,NO,325,Chemicals,,,,,,,325199,,,,,,1323222086454,Pyridine,NO,0000110861,110-86-1,27037.0,NO,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,292.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33579.0,0.0,33579.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,33585.0,452.0,0.0,0.0,452.0,0.0,0.0,0.0,33579.0,131949.0,0.0,0.0,6.0,165986.0,,PRODUCTION,1.52
2023,48150MCGNR38521,110000405801.0,MCGEAN-ROHCO INC,38521 SCHOOLCRAFT AVE,LIVONIA,WAYNE,MI,48150,,,42.38151,-83.42288,NAD83,MCGEAN-ROHCO INC,071112593,MCGEAN-ROHCO INC,,,,NO,325,Chemicals,,,,,,,325180,,,,,,1323222044808,Formic acid,NO,0000064186,64-18-6,3830.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.09,0.0,0.0,4700.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.09,4710.09,0.0,0.0,10.0,0.0,4700.09,0.0,0.0,0.0,0.0,0.0,0.0,4710.09,,PRODUCTION,0.09
2023,48091WRRNT21500,110000405393.0,FCA US WARREN TRUCK ASSEMBLY PLANT,21500 MOUND RD,WARREN,MACOMB,MI,48091,,,42.45544,-83.040949,NAD83,FCA US LLC,830966904,FCA US LLC,STELLANTIS N.V.,,STELLANTIS NV,NO,336,Transportation Equipment,,,,,,,336110,,,,,,1323222036891,Manganese  And Manganese Compounds,YES,N450,N450,650010.0,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,38897.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4978.6,0.0,0.0,0.0,0.0,0.0,0.0,43876.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43876.14,43876.57,0.0,0.0,0.43,4978.6,38897.54,0.0,0.0,0.0,0.0,0.0,0.0,43876.57,,PRODUCTION,0.84
2023,48211CDLLC2500E,110000406640.0,GENERAL MOTORS GM VA FACTORY ZERO ASSEMBLY PLANT,2500 E GENERAL MOTORS BLVD,DETROIT,WAYNE,MI,48211,,,42.381971,-83.044919,NAD83,GENERAL MOTORS LLC,831247536,GENERAL MOTORS LLC,,,,NO,336,Transportation Equipment,,,,,,,336110,,,,,,1323221881030,n-Butyl alcohol,NO,0000071363,71-36-3,4739.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,150.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6823.0,0.0,0.0,0.0,0.0,6823.0,69.0,0.0,69.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,6937.0,597.0,0.0,0.0,570.0,27.0,0.0,0.0,69.0,0.0,6800.0,8000.0,18.0,15484.0,,PRODUCTION,6.63
2023,48174MCHGN36345,110000406132.0,US ECOLOGY ROMULUS INC.,36345 VAN BORN RD,ROMULUS,WAYNE,MI,48174,,,42.26646,-83.39581,NAD83,REPUBLIC SERVICES INC,026363899,REPUBLIC SERVICES INC,,,,NO,562,Hazardous Waste,,,,,,,562211,,,,,,1323222347383,N-Methyl-2-pyrrolidone,NO,0000872504,872-50-4,72744.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,62.398,717.582,779.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.582,0.0,779.98,430.398,0.0,0.0,368.0,0.0,62.398,0.0,0.0,1162710.0,0.0,0.0,717.582,1163857.98,,ACTIVITY,0.66
2023,48133HDTMN640LA,110000903862.0,HEIDTMAN STEEL PRODUCTS INC.,640 LAVOY RD,ERIE,MONROE,MI,48133,,,41.73515,-83.53227,NAD83,HEIDTMAN STEEL PRODUCTS INC.,002929610,HEIDTMAN STEEL PRODUCTS INC,,,,NO,331,Primary Metals,,,,,,,331210,,,,,,1323221849449,Manganese,NO,0007439965,7439-96-5,149625.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,19.44,0.0,13727.98,0.0,0.0,0.0,13727.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13747.42,19.785,0.0,0.0,0.345,19.44,0.0,0.0,0.0,0.0,13727.98,0.0,0.0,13747.765,,PRODUCTION,2.62
2023,4889WMRBRK857SW,110001299318.0,MORBARK LLC,8507 S WINN RD,WINN,ISABELLA,MI,48896,,,43.51494,-84.90582,NAD83,ALAMO GROUP INC,023555014,ALAMO GROUP INC,,,,NO,333,Machinery,,,,,,,333120,,,,,,1323221858071,Nickel  And Nickel Compounds,YES,N495,N495,650036.0,YES,TRI,YES,Metal complound categories,YES,NO,NO,R,Pounds,37.34,149.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87601.0,0.0,0.0,0.0,87601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87601.0,186.72,0.0,0.0,186.72,0.0,0.0,0.0,0.0,0.0,87601.0,0.0,0.0,87787.72,,PRODUCTION,1.08
