1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,59107DYCCH1353T,110032959706.0,BRENNTAG PACIFIC INC MOSSMAIN LN,7535 MOSSMAIN LN,BILLINGS,YELLOWSTONE,MT,59106,,,45.6888,-108.70827,NAD83,BRENNTAG N.A. INC,145245192,BRENNTAG NORTH AMERICA INC,BRENNTAG AG,507091739,BRENNTAG AG,NO,4246,Chemical Wholesalers,,,,,,,424690,,,,,,1323221629835,Methanol,NO,0000067561,67-56-1,4283.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,695.93,1950.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856.0,0.0,0.0,0.0,0.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856.0,2646.16,0.0,0.0,2646.16,0.0,0.0,0.0,0.0,0.0,856.0,0.0,0.0,3502.16,,PRODUCTION,1.31
2023,59323RSBDPPOBOX,110041886144.0,COLSTRIP ENERGY LP ROSEBUD POWER PLANT,18 SNIDER SUBDIVISION RD,COLSTRIP,ROSEBUD,MT,59323,,,45.975179,-106.655241,NAD83,,,COLSTRIP ENERGY LP,,,,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323222162202,Manganese  And Manganese Compounds,YES,N450,N450,650010.0,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,127.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,127.7,0.0,0.0,127.7,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,193.7,,PRODUCTION,1.04
2023,59101CNCBL401SO,110043806085.0,PHILLIPS 66 CO BILLINGS REFINERY,401 S 23RD ST,BILLINGS,YELLOWSTONE,MT,59101,,,45.776389,-108.484444,NAD83,PHILLIPS 66 CO,078378508,PHILLIPS 66 CO,,,,NO,324,Petroleum,,,,,,,324110,,,,,,1323221722263,Nickel  And Nickel Compounds,YES,N495,N495,650036.0,YES,TRI,YES,Metal complound categories,YES,NO,NO,R,Pounds,12.1,71.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.2,14.64,0.0,14.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.865,0.0,0.0,0.0,20.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.505,103.705,0.0,0.0,83.2,5.56,14.945,0.0,0.0,0.0,0.0,0.0,0.0,103.705,,PRODUCTION,0.85
2023,59044CNXRF803HI,110000595124.0,CHS INC.  LAUREL REFINERY,803 HWY 212 S,LAUREL,YELLOWSTONE,MT,59044,,,45.65922,-108.76778,NAD83,CHS INC,006147177,CHS INC,,,,NO,324,Petroleum,,,,,,,324110,,,,,,1323222051625,n-Hexane,NO,0000110543,110-54-3,26740.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,2626.0,9005.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,11633.7,0.0,0.0,11632.0,1.1,0.6,0.0,0.0,53.0,0.0,336073.0,0.0,347759.7,,PRODUCTION,0.87
2023,59414MNTNR19001,110000428500.0,CALUMET MONTANA REFINING LLC.,1900 10TH ST NE,GREAT FALLS,CASCADE,MT,59404,,,47.523611,-111.294167,NAD83,CALUMET SPECIALTY PRODUCTS PARTNERS LP,,CALUMET SPECIALTY PRODUCTS LP,,,,NO,324,Petroleum,,,,,,,324110,,,,,,1323221678081,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24,16.93,0.0,0.0,0.0,0.0,0.0,31.17,0.0,4.86,56.96,0.0,0.0,61.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.99,34.87,0.0,0.0,3.7,28.17,3.0,0.0,0.0,0.0,61.82,0.0,0.0,96.69,,PRODUCTION,0.69
2023,59011STLLWPOBOX,110007110474.0,STILLWATER MINING CO EAST BOULDER MINE,517 W 1ST AVE,BIG TIMBER,SWEET GRASS,MT,59011,,,45.724998,-109.891998,NAD83,,,STILLWATER MINING CO,SIBANYE-STILLWATER MINING CO,,SIBANYE-STILLWATER MINING CO,NO,2122,Metal Mining,,,,,,,212290,,,,,,1323222114454,Lead  And Lead Compounds,YES,N420,N420,650002.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,0.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,,PRODUCTION,0.74
2023,59644GRYMN45MIL,110008058822.0,GRAYMONT WESTERN US INC INDIAN CREEK LIME PRODUCTION,4.5 MILES W OF TOWNSEND,TOWNSEND,BROADWATER,MT,59644,,,46.32847,-111.61741,NAD83,GRAYMONT LTD,,GRAYMONT LTD,,,GRAYMONT LTD,NO,327,Nonmetallic Mineral Product,,,,,,,327410,,,,,,1323222259451,Vanadium compounds,NO,N770,N770,755389.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,3.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,PRODUCTION,0.88
2023,59912PLMCRPOBOX,110000428644.0,WEYERHAEUSER NR,105 MILLS DR,COLUMBIA FALLS,FLATHEAD,MT,59912,,,48.378883,-114.205132,NAD83,WEYERHAEUSER CO,828789524,WEYERHAEUSER CO,,,,NO,321,Wood Products,,,,,,,321219,,,,,,1323222298756,Ammonia,NO,0007664417,7664-41-7,152389.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,750.0,43539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44289.0,0.0,0.0,44289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44289.0,,PRODUCTION,0.85
2023,5947WBNTYL2122W,110038259121.0,BEN TAYLOR INC BULK FACILITY,2122 W ROOSEVELT HWY,SHELBY,TOOLE,MT,59474,,,48.516828,-111.88737,NAD83,NORTHSTAR ENERGY LLC,079329957,NORTHSTAR ENERGY LLC,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323222112854,Benzene,NO,0000071432,71-43-2,4754.0,YES,TRI,NO,Non_Metal,YES,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,59034HRDNGSUGAR,110038363623.0,HARDIN GENERATING STATION,643 INDUSTRIAL PARK RD,HARDIN,BIG HORN,MT,59034,,,45.764338,-107.599558,NAD83,ROCKY MOUNTAIN POWER LLC,,ROCKY MOUNTAIN POWER LLC,,,,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323222101228,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,90.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726.3,0.0,0.0,0.0,0.0,0.0,0.0,1726.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726.3,1817.4,0.0,0.0,91.1,1726.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1817.4,,PRODUCTION,1.02
