1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,28001PRFRM1700W,110000496598.0,PREFORMED LINE PRODUCTS,1700 WOODHURST LN,ALBEMARLE,STANLY,NC,28001,,,35.34329,-80.164,NAD83,PREFORMED LINE PRODUCTS CO,,PREFORMED LINE PRODUCTS CO,,,,NO,325,Chemicals,,,,,,,325211,,,,,,1323221598980,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04,9.997,0.0,0.0,0.007,9.99,0.0,0.0,0.0,0.0,0.05,0.0,0.0,10.047,,PRODUCTION,1.09
2023,2725WNDLRX932EA,110056968456.0,INDULOR AMERICA LP,932 E ELM ST,GRAHAM,ALAMANCE,NC,27253,,,36.075239,-79.388432,NAD83,,,,,,,NO,325,Chemicals,,,,,,,325211,,,,,,1323221629165,Acrylamide,NO,0000079061,79-06-1,7575.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.16,70.84,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,77.84,0.0,84.0,11.16,0.0,0.0,5.0,0.0,6.16,0.0,0.0,0.0,0.0,0.0,77.84,89.0,,ACTIVITY,1.0
2023,27261HGHPN255BE,110000751525.0,KAO SPECIALTIES AMERICAS LLC,243 WOODBINE ST,HIGH POINT,GUILFORD,NC,27260,,,35.92333,-80.02967,NAD83,KAO AMERICA INC,078606544,KAO AMERICA INC,KAO CORP,690535703,KAO CORP,NO,325,Chemicals,,,,,,,325211,325613.0,325199.0,,,,1323221717818,"4,4'-Isopropylidenediphenol",NO,0000080057,80-05-7,8110.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,42.2,0.0,0.0,42.2,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,331.2,,ACTIVITY,0.9
2023,2873WGFLNM49FER,110069993050.0,LINAMAR LIGHT METALS-MR,490 FERNCLIFF PARK DRIVE,MILLS RIVER,HENDERSON,NC,28732,,,35.427569,-82.542922,NAD83,,,LINAMAR HOLDING NEVADA INC,,,LINAMAR CORP,NO,331,Primary Metals,,,,,,,331523,,,,,,1323222115432,Nickel,NO,0007440020,7440-02-0,149674.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,2.61,54.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3331.73,3331.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3331.73,56.77,0.0,0.0,56.77,0.0,0.0,0.0,0.0,0.0,3331.73,0.0,0.0,3388.5,,PRODUCTION,1.56
2023,27360NLNFL55CLN,110021035814.0,UNILIN FLOORING,550 CLONIGER DR,THOMASVILLE,DAVIDSON,NC,27360,,,35.86743,-80.05013,NAD83,MOHAWK INDUSTRIES INC,120930102,MOHAWK INDUSTRIES INC,,,,NO,321,Wood Products,,,,,,,321211,,,,,,1323222173890,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616.0,NO,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,929.0,933.0,0.0,933.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.0,0.0,929.0,0.0,22.0,1884.0,,ACTIVITY,1.24
2023,2814WCRLNC1E17T,110012476043.0,CHROMA COLOR CORP,100 E 17TH ST,SALISBURY,ROWAN,NC,28144,,,35.6686,-80.4483,NAD83,CHROMA COLOR CORP,794293449,CHROMA COLOR CORP,,,,NO,326,Plastics and Rubber,,,,,,,326199,,,,,,1323221580804,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,N090,N090,649475.0,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32299.0,0.0,0.0,0.0,0.0,0.0,0.0,32299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32299.0,32329.2,0.0,0.0,30.2,32299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32329.2,,PRODUCTION,0.88
2023,27806TXSGLHIGHW,110000586376.0,PCS PHOSPHATE CO INC,1530 NC HWY 306 S,AURORA,BEAUFORT,NC,27806,,,35.37745,-76.778816,NAD83,NUTRIEN US TOPCO LLC,119290213,NUTRIEN US TOPCO LLC,NUTRIEN LTD,203378927,NUTRIEN LTD,NO,325,Chemicals,,,,,,,325312,325180.0,,,,,1323221992201,Zinc compounds,NO,N982,N982,649699.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,2.9,69.1,0.0,0.0,0.0,0.0,0.0,0.0,733902.0,15.3,0.0,0.0,7565.97,5.564,741560.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741560.834,0.0,733902.0,7653.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741555.27,5.564,PRODUCTION,1.08
2023,27030NRTHC511CA,110000345172.0,BARNHARDT MANUFACTURING CO NCFI POLYURETHANES DIV,1515 CARTER ST,MOUNT AIRY,SURRY,NC,27030,,,36.472778,-80.608611,NAD83,BARNHARDT MANUFACTURING CO,003148285,BARNHARDT MANUFACTURING CO,,,,NO,326,Plastics and Rubber,,,,,,,326150,,,,,,1323222389595,Ethylene glycol,NO,0000107211,107-21-1,24257.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,597.0,0.0,0.0,98.0,0.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,,PRODUCTION,0.92
2023,28523CVCTYHWY10,110007657678.0,CULPEPER OF COVE CITY LLC,11065 OLD HWY 70 W,COVE CITY,CRAVEN,NC,28523,,,35.190698,-77.335617,NAD83,JEFFERSON HOMEBUILDERS INC,059165282,JEFFERSON HOMEBUILDERS INC,,,,NO,321,Wood Products,,,,,,,321114,,,,,,1323221528060,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,N090,N090,649475.0,YES,TRI,YES,Metal complound categories,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,27317THTMK3500T,110000346199.0,TIMKEN CO ASHEBORO BEARING PLANT,3500 TIMKEN PL,RANDLEMAN,RANDOLPH,NC,27317,,,35.79806,-79.81859,NAD83,THE TIMKEN CO,004465100,THE TIMKEN CO,,,,NO,332,Fabricated Metals,,,,,,,332991,,,,,,1323221662392,Methanol,NO,0000067561,67-56-1,4283.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,,PRODUCTION,0.65
