1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,03874DXTRDONEDE,110054890258.0,HENKEL OF AMERICA INC.,167 BATCHELDER RD,SEABROOK,ROCKINGHAM,NH,3874,,,42.88414,-70.88672,NAD83,HENKEL OF AMERICA INC.,051441731,HENKEL OF AMERICA INC,,,,NO,325,Chemicals,,,,,,,325510,325520.0,,,,,1323222008221,Methyl methacrylate,NO,0000080626,80-62-6,8458.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,23.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21081.0,0.0,21081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21081.0,21314.0,0.0,0.0,233.0,0.0,21081.0,0.0,0.0,0.0,0.0,0.0,0.0,21314.0,,PRODUCTION,1.1
2023,0324WRYMSX64PRI,110070543347.0,RYMES - LACONIA,64 PRIMROSE DR,LACONIA,BELKNAP,NH,3246,,,43.546788,-71.491258,NAD83,,,SUPERIOR PLUS ENERGY SERVICES INC,,,SUPERIOR PLUS CORP,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323221966423,Methyl tert-butyl ether,NO,0001634044,1634-04-4,89870.0,YES,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,03060PCDHS3EAST,110004087595.0,WORTHEN INDUSTRIES INC UPACO DIV,3 E SPITBROOK RD,NASHUA,HILLSBOROUGH,NH,3060,,,42.710417,-71.438582,NAD83,WF HOLDINGS INC,125678362,WF HOLDINGS INC,,,,NO,325,Chemicals,,,,,,,325520,,,,,,1323221590490,"N,N-Dimethylformamide",NO,0000068122,68-12-2,4416.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6463.0,0.0,6463.0,0.0,756.0,0.0,0.0,0.0,0.0,756.0,0.0,7219.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,6463.0,0.0,0.0,0.0,756.0,7256.0,,ACTIVITY,0.91
2023,0386WSGSRN7AMAR,110071395864.0,SIG SAUER INC ROCHESTER,7 AMAROSA DR,ROCHESTER,STRAFFORD,NH,3868,,,43.346309,-70.976691,NAD83,SIG SAUER INC,,SIG SAUER INC,,,,NO,332,Fabricated Metals,,,,,,,332994,,,,,,1323221703287,Manganese  And Manganese Compounds,YES,N450,N450,650010.0,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11699.0,11699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11699.0,0.058,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,11699.0,0.0,0.0,11699.058,,PRODUCTION,0.86
2023,0376WHYPRT88ETN,110004089520.0,HYPERTHERM INC,88 ETNA RD,LEBANON,GRAFTON,NH,3766,,,43.66316,-72.24265,NAD83,HYPERTHERM INC,056329527,HYPERTHERM INC,,,,NO,332,Fabricated Metals,,,,,,,332721,,,,,,1323221888480,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,21.3,0.0,0.0,0.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.305,0.085,0.0,0.0,0.08,0.005,0.0,0.0,0.0,0.0,21.3,0.0,0.0,21.385,,PRODUCTION,0.86
2023,03584FTCHF178SU,110024942393.0,FITCH FUEL CO INC.,178 SUMMER ST,LANCASTER,COOS,NH,3584,,,44.503324,-71.568014,NAD83,,,,,,,NO,999,Other,,,,,,,454310,238220.0,,,,,1323221708528,Xylene (mixed isomers),NO,0001330207,1330-20-7,84970.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PRODUCTION,1.0
2023,03303LKTRS126HI,110000313795.0,ELEKTRISOLA INC.,126 HIGH ST,BOSCAWEN,MERRIMACK,NH,3303,,,43.32661,-71.640759,NAD83,,,,,,,NO,331,Primary Metals,,,,,,,331420,,,,,,1323222167710,Xylene (mixed isomers),NO,0001330207,1330-20-7,84970.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,142.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4736.0,4736.0,0.0,5.9,0.0,0.0,0.0,1.2,7.1,0.0,4743.1,147.0,0.0,0.0,147.0,0.0,0.0,76062.0,4736.0,0.0,0.0,0.0,7.1,80952.1,,PRODUCTION,0.72
2023,03060PCDHS3EAST,110004087595.0,WORTHEN INDUSTRIES INC UPACO DIV,3 E SPITBROOK RD,NASHUA,HILLSBOROUGH,NH,3060,,,42.710417,-71.438582,NAD83,WF HOLDINGS INC,125678362,WF HOLDINGS INC,,,,NO,325,Chemicals,,,,,,,325520,,,,,,1323221590464,n-Butyl alcohol,NO,0000071363,71-36-3,4739.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,31.0,,ACTIVITY,0.68
2023,03801NWNGT165GO,110071198059.0,NEWINGTON STATION,165 GOSLING RD,NEWINGTON,ROCKINGHAM,NH,3801,,,43.09996,-70.790777,NAD83,GSP NEWINGTON LLC,,GRANITE SHORE POWER LLC,,,,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323222314712,Polycyclic aromatic compounds,NO,N590,N590,649749.0,YES,PBT,NO,Non_Metal,YES,YES,NO,R,Pounds,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885,0.885,0.0,2.704,0.0,0.0,0.0,0.0,2.704,0.0,3.589,0.057,0.0,0.0,0.057,0.0,0.0,0.0,0.885,0.0,0.0,0.0,2.704,3.646,,PRODUCTION,0.38
2023,03801CNDNW99OLD,110021167011.0,ESSENTIAL POWER NEWINGTON,200 SHATTUCK WAY,NEWINGTON,ROCKINGHAM,NH,3801,,,43.103487,-70.805243,NAD83,NAUTILUS POWER LLC,121847712,NAUTILUS POWER LLC,,,,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323221715333,Ammonia,NO,0007664417,7664-41-7,152389.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,199.0,11198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11397.0,0.0,0.0,11397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11397.0,,PRODUCTION,1.0
