1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,97309RVRBN415LA,110001653407.0,RIVERBEND SAND & GRAVEL,4105 LANCASTER DR SE,SALEM,MARION,OR,97317,,,44.899781,-122.979369,NAD83,CRH AMERICAS INC,037176591,CRH AMERICAS INC,CRH PLC,219509155,CRH PUBLIC LTD CO,NO,327,Nonmetallic Mineral Product,,,,,,,327320,324121.0,,,,,1323221864832,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616.0,NO,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371.42,0.0,1371.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371.42,0.0,0.0,1371.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371.42,,PRODUCTION,1.05
2023,9720WTCMRC13135,110032744127.0,TCI AMERICA,13135 N. WOODRUSH WAY,PORTLAND,MULTNOMAH,OR,97203,,,45.617973,-122.767936,NAD83,,,,TOKYO CHEMICAL INDUSTRY CO LTD,,TOKYO CHEMICAL INDUSTRY CO LTD,NO,325,Chemicals,,,,,,,325199,424690.0,,,,,1323221826961,Toluene,NO,0000108883,108-88-3,25452.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19100.0,0.0,0.0,19100.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,1700.0,0.0,20800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23523.0,19100.0,0.0,1700.0,44323.0,,,
2023,97378TYLRLROCKC,110000488197.0,STELLA-JONES CORP,22125 ROCK CREEK RD,SHERIDAN,YAMHILL,OR,97378,,,45.097222,-123.426944,NAD83,STELLA-JONES US HOLDING CORP,605929814,STELLA-JONES US HOLDING CORP,,,,NO,321,Wood Products,,,,,,,321114,,,,,,1323221930910,Dioxin and dioxin-like compounds,NO,N150,N150,755371.0,YES,Dioxin,NO,Non_Metal,YES,YES,NO,R,Grams,0.0,0.0,0.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.671,0.0,0.0,0.0,0.0,0.0,1.255,0.0,0.0,0.0,0.0,0.0,0.0,196.178,0.0,196.178,0.0,241.917,0.0,0.0,0.0,0.0,241.917,0.0,439.349,2.137,0.0,0.0,0.883,0.584,0.0,0.0,196.178,0.0,0.0,0.0,0.0,197.645,242.587,PRODUCTION,0.02
2023,97007NTLCR3585S,110000486527.0,INTEL CORP-ALOHA CAMPUS,3585 SW 198TH AVE,ALOHA,WASHINGTON,OR,97007,,,45.493297,-122.88506,NAD83,INTEL CORP,047897855,INTEL CORP,,,,NO,334,Computers and Electronic Products,,,,,,,334413,,,,,,1323222221398,Hydrogen fluoride,NO,0007664393,7664-39-3,152371.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,5.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,13125.0,,PRODUCTION,0.66
2023,97210GLVNZ2406N,110000487312.0,ZINKPOWER PORTLAND LLC,2406 NW 30TH AVE,PORTLAND,MULTNOMAH,OR,97210,,,45.539752,-122.711813,NAD83,ZINKPOWER-USA CORP,006916672,ZINKPOWER-USA CORP,,,,NO,332,Fabricated Metals,,,,,,,332812,,,,,,1323221644863,Zinc compounds,NO,N982,N982,649699.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,1303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303.0,20.31,0.0,20.31,0.0,489.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,99.8,0.0,0.0,0.0,0.0,0.0,1073.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.47,2376.47,0.0,0.0,1303.0,563.8,509.67,0.0,0.0,0.0,0.0,0.0,0.0,2376.47,,PRODUCTION,0.84
2023,97051CHVRN63149,110041415885.0,DYNO NOBEL- ST.HELENS PLANT,63149 COLUMBIA RIVER HWY,DEER ISLAND,COLUMBIA,OR,97054,,,45.9122,-122.8286,NAD83,DYNO NOBEL INC,009091257,DYNO NOBEL INC,INCITEC PIVOT LTD,753662717,INCITEC PIVOT LTD,NO,325,Chemicals,,,,,,,325311,,,,,,1323221848916,Ammonia,NO,0007664417,7664-41-7,152389.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,359553.0,5745065.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6105712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6105712.0,0.0,0.0,6105574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6105574.0,138.0,PRODUCTION,0.95
2023,97218NDZNG5325N,110000487606.0,HYDRO EXTRUSION PORTLAND INC. - COATINGS DIV,5325 NE SKYPORT WAY,PORTLAND,MULTNOMAH,OR,97218,,,45.576389,-122.608581,NAD83,HYDRO EXTRUSION USA LLC,939541129,HYDRO EXTRUSION USA LLC,NORSK HYDRO ASA,515010643,NORSK HYDRO ASA,NO,332,Fabricated Metals,,,,,,,332812,,,,,,1323222229508,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.01,0.11,0.0,499.3,0.0,0.0,0.0,499.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.41,0.14,0.0,0.0,0.03,0.05,0.06,0.0,0.0,0.0,499.3,0.0,0.0,499.44,,PRODUCTION,0.53
2023,97405CDRPD86470,110000816751.0,ASTEC EUGENE FRANKLIN BLVD,86470 FRANKLIN BLVD,EUGENE,LANE,OR,97405,,,44.01217,-123.019946,NAD83,ASTEC INDUSTRIES INC,926938598,ASTEC INDUSTRIES INC,,,,NO,333,Machinery,,,,,,,333120,,,,,,1323221824701,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,72.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,55253.0,55253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55253.2,73.4,0.0,0.0,73.2,0.0,0.2,0.0,0.0,0.0,55253.0,0.0,0.0,55326.4,,PRODUCTION,0.95
2023,97218VTNXT4635N,110000487624.0,THE BOEING COMPANY-PDX,4635 NE CORNFOOT RD,PORTLAND,MULTNOMAH,OR,97218,,,45.579287,-122.613543,NAD83,THE BOEING CO,009256819,THE BOEING CO,,,,NO,336,Transportation Equipment,,,,,,,336411,,,,,,1323221907393,Naphthalene,NO,0000091203,91-20-3,13326.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,42.0,,PRODUCTION,0.68
2023,97496HVRTR33DIL,110022435630.0,HOOVER TREATED WOOD PRODUCTS INC,303 DILLARD GARDENS RD,WINSTON,DOUGLAS,OR,97496,,,43.106247,-123.417835,NAD83,GRAHAM HOLDINGS CO,003245768,GRAHAM HOLDINGS CO,,,,NO,321,Wood Products,,,,,,,321999,321114.0,,,,,1323221817113,Formaldehyde,NO,0000050000,50-00-0,1008.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.0,368.0,57.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.92,0.0,0.0,425.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.92,,PRODUCTION,0.76
