1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,02813KNYNNMAINS,110000312117.0,KENYON INDUSTRIES INC.,36 SHERMAN AVE,KENYON,WASHINGTON,RI,2836,,,41.445937,-71.626246,NAD83,BROOKWOOD COS INC,360752448,BROOKWOOD COS INC,,,,NO,313,Textiles,,,,,,,313310,,,,,,1323222292373,"N,N-Dimethylformamide",NO,0000068122,68-12-2,4416.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,12.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,0.0,4743.0,0.0,0.0,5880.0,86.49,0.0,86.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5966.49,112.3,0.0,0.0,112.3,0.0,0.0,0.0,86.49,0.0,5880.0,24535.0,0.0,30613.79,,PRODUCTION,1.02
2023,02895TCHNC300PA,110000496062.0,TECHNIC INC ENGINEERED POWDERS DIV,300 PARK EAST DR,WOONSOCKET,PROVIDENCE,RI,2895,,,41.9999,-71.471,NAD83,TECHNIC INC,001200252,TECHNIC INC,,,,NO,331,Primary Metals,,,,,,,331492,,,,,,1323222026890,Silver And Silver Compounds,YES,N740,N740,761312.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199,0.0,0.199,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.199,0.0,2707.0,0.0,0.0,0.0,2707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2712.199,5.199,0.0,0.0,0.0,0.131,5.068,0.0,0.0,0.0,2707.0,0.0,0.0,2712.199,,PRODUCTION,1.06
2023,02860CLYNC50EST,110000312251.0,COOLEY INC,350 ESTEN AVE,PAWTUCKET,PROVIDENCE,RI,2860,,,41.86044,-71.401114,NAD83,COOLEY INC,001199728,COOLEY INC,,,,NO,313,Textiles,,,,,,,313320,,,,,,1323221558873,Antimony compounds,NO,N010,N010,649921.0,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,946.0,0.0,0.0,0.0,946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,,PRODUCTION,0.75
2023,02911SRNGT1GREY,110000313090.0,INDUPLATE LLC.,1 GREYSTONE DR,NORTH PROVIDENCE,PROVIDENCE,RI,2911,,,41.86542,-71.4922,NAD83,GREYSTONE INC,151175809,GREYSTONE INC,,,,NO,332,Fabricated Metals,,,,,,,332813,,,,,,1323222045357,Lead  And Lead Compounds,YES,N420,N420,650002.0,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,5.25,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.73,0.0,0.0,0.0,0.0,0.0,0.0,57.98,0.0,1.39,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.37,58.77,0.0,0.0,0.79,56.038,1.943,0.0,0.0,0.0,1.39,0.0,0.0,60.16,,PRODUCTION,1.0
2023,02865CHMRT11NEW,110000312475.0,CHEMART,11 NEW ENGLAND WAY,LINCOLN,PROVIDENCE,RI,2865,,,41.929389,-71.4785,NAD83,,,,,,,NO,332,Fabricated Metals,,,,,,,332812,,,,,,1323222054037,Zinc compounds,NO,N982,N982,649699.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,7.59,0.0,7.59,0.0,13145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13152.59,0.0,18719.0,0.0,0.0,0.0,18719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31871.59,13155.19,0.0,0.0,2.6,0.0,13152.59,0.0,0.0,0.0,18719.0,0.0,0.0,31874.19,,PRODUCTION,1.29
2023,02905HDSNT29TER,110032893938.0,HUDSON TERMINAL,29 TERMINAL RD,PROVIDENCE,PROVIDENCE,RI,2905,,,41.795485,-71.396596,NAD83,HUDSON LIQUID ASPHALT INC,046610911,HUDSON LIQUID ASPHALT INC,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1323222155246,Polycyclic aromatic compounds,NO,N590,N590,649749.0,YES,PBT,NO,Non_Metal,YES,YES,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,,PRODUCTION,1.01
2023,0286WTHKNT5INDU,110070037315.0,THE OKONITE CO INC.,5 INDUSTRIAL RD,CUMBERLAND,PROVIDENCE,RI,2864,,,41.95312,-71.40164,NAD83,,,THE OKONITE CO INC,,,,NO,335,Electrical Equipment,,,,,,,335929,,,,,,1323222037145,Antimony compounds,NO,N010,N010,649921.0,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864.0,0.0,0.0,0.0,0.0,0.0,0.0,1869.0,0.0,0.0,0.0,0.0,1864.0,1864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3733.0,1869.0,0.0,0.0,0.0,1865.6,3.4,0.0,0.0,0.0,1864.0,0.0,0.0,3733.0,,PRODUCTION,0.89
2023,02905RMBRS735AL,110000312938.0,ARMBRUST INTERNATIONAL,735 ALLENS AVE,PROVIDENCE,PROVIDENCE,RI,2905,,,41.793183,-71.397363,NAD83,,,,,,,NO,339,Miscellaneous Manufacturing,,,,,,,339910,,,,,,1323221753849,Copper,NO,0007440508,7440-50-8,150086.0,NO,TRI,YES,Elemental metals,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,02861TKNRP505CE,110000312368.0,TEKNOR APEX CO,505 CENTRAL AVE,PAWTUCKET,PROVIDENCE,RI,2861,,,41.8855,-71.3637,NAD83,TEKNOR APEX CO,045367968,TEKNOR APEX CO,,,,NO,325,Chemicals,,,,,,,325991,,,,,,1323221676873,Barium  And Barium Compounds,YES,N040,N040,649426.0,NO,TRI,NO,Metal complound categories,NO,NO,NO,R,Pounds,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,0.0,0.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,401.7,0.0,0.0,6.7,0.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,401.7,,ACTIVITY,0.78
2023,02895TCHNC300PA,110000496062.0,TECHNIC INC ENGINEERED POWDERS DIV,300 PARK EAST DR,WOONSOCKET,PROVIDENCE,RI,2895,,,41.9999,-71.471,NAD83,TECHNIC INC,001200252,TECHNIC INC,,,,NO,331,Primary Metals,,,,,,,331492,,,,,,1323222026623,Methanol,NO,0000067561,67-56-1,4283.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,146.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,1089.6,12530.4,13620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,0.0,0.0,2441.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12530.4,0.0,14972.0,2701.6,0.0,0.0,260.0,0.0,2441.6,0.0,0.0,1118.0,0.0,793.0,12530.4,17143.0,,ACTIVITY,1.68
