1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,57754WHRFRTROJA,110000594973.0,WHARF RESOURCES,10928 WHARF RD,LEAD,LAWRENCE,SD,57754,,,44.34444,-103.86166,NAD83,COEUR MINING INC,048439806,COEUR MINING INC,,,,NO,2122,Metal Mining,,,,,,,212220,,,,,,1323221984281,Sodium nitrite,NO,0007632000,7632-00-0,152058.0,NO,TRI,NO,Individually-listed compounds that contain metal,NO,NO,NO,R,Pounds,0.0,0.0,28.0,0.0,0.0,4.0,0.0,0.0,5200.0,0.0,0.0,0.0,0.0,2200.0,7432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7432.0,0.0,5200.0,2232.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,23432.0,,PRODUCTION,1.1
2023,57106GLDNS101SO,110000427798.0,PURINA ANIMAL NUTRITION LLC - SIOUX FALLS SD,101 S MARION RD,SIOUX FALLS,MINNEHAHA,SD,57107,,,43.54712,-96.7909,NAD83,LAND O LAKES INC,006253835,LAND O LAKES INC,,,,NO,311,Food,,,,,,,311119,,,,,,1323221832557,Manganese compounds,NO,N450,N450,650010.0,YES,TRI,YES,Metal complound categories,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,57104STRMR700E4,110000427789.0,MASTERBRAND CABINETS LLC,700 E 48TH ST N,SIOUX FALLS,MINNEHAHA,SD,57104,,,43.589358,-96.718782,NAD83,MASTERBRAND INC,118812674,MASTERBRAND INC,,,,NO,337,Furniture,,,,,,,337110,,,,,,1323221655816,Toluene,NO,0000108883,108-88-3,25452.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,3818.87,15274.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19093.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8937.91,0.0,0.0,0.0,0.0,8937.91,644.0,0.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9581.91,19093.84,0.0,0.0,19093.84,0.0,0.0,0.0,644.0,0.0,8937.91,0.0,0.0,28675.75,,PRODUCTION,0.84
2023,57005LVRNT1200E,110004944268.0,CURT MANUFACTURING LLC,1200 E BIRCH ST,BRANDON,MINNEHAHA,SD,57005,,,43.6033,-96.57375,NAD83,LCI INDUSTRIES,007871643,LCI INDUSTRIES,,,,NO,332,Fabricated Metals,,,,,,,332119,,,,,,1323221654445,Manganese,NO,0007439965,7439-96-5,149625.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11815.0,0.0,0.0,0.0,11815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11815.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11815.0,0.0,0.0,11820.0,,PRODUCTION,1.38
2023,5703WWLSNT415ER,110037945819.0,WILSON TRAILER CO,415 E. ORIOLE AVE,LENNOX,LINCOLN,SD,57039,,,43.340056,-96.887444,NAD83,WILSON TRAILER CO,,WILSON TRAILER CO,,,,NO,336,Transportation Equipment,,,,,,,336212,,,,,,1323221581960,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,1.34,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,926.0,926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.34,1.88,0.0,0.0,0.54,0.844,0.496,0.0,0.0,0.0,926.0,0.0,0.0,927.88,,PRODUCTION,1.05
2023,5740WGPRCS48158,110070675425.0,AG PROCESSING INC,4815 8TH AVE NE,ABERDEEN,BROWN,SD,57401,,,45.474311,-98.416005,NAD83,AG PROCESSING INC,005275631,AG PROCESSING INC,,,,NO,311,Food,,,,,,,311224,,,,,,1323221603792,n-Hexane,NO,0000110543,110-54-3,26740.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,32499.0,292489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324988.0,642.32,393.68,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.68,0.0,1036.0,325630.32,0.0,0.0,324988.0,93.24,549.08,0.0,0.0,0.0,0.0,0.0,393.68,326024.0,,PRODUCTION,1.0
2023,5710WDMNDM34E6T,110066987390.0,DIAMOND MOWERS INC.,340 E 60TH ST N,SIOUX FALLS,MINNEHAHA,SD,57104,,,43.602006,-96.722321,NAD83,,,,,,,NO,333,Machinery,,,,,,,333111,,,,,,1323221879657,Nickel,NO,0007440020,7440-02-0,149674.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,6.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31796.0,31796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31796.0,6.59,0.0,0.0,6.59,0.0,0.0,0.0,0.0,0.0,31796.0,0.0,0.0,31802.59,,PRODUCTION,1.0
2023,5720WTRXST31415,110070733017.0,TEREX SOUTH DAKOTA,3140 15TH AVE SE,WATERTOWN,CODINGTON,SD,57201,,,44.89435,-97.090459,NAD83,TEREX CORP,022574552,TEREX CORP,,,,NO,333,Machinery,,,,,,,333923,,,,,,1323222080374,Aluminum (fume or dust),NO,0007429905,7429-90-5,149476.0,NO,TRI,NO,Metals with qualifiers,NO,NO,NO,R,Pounds,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,,PRODUCTION,1.38
2023,5710WSFTYK2NWES,110071731568.0,SAFETY-KLEEN SYSTEMS,2000 - N WESTPORT AVE,SIOUX FALLS,MINNEHAHA,SD,57107,,,43.568581,-96.767329,NAD83,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,,,,NO,562,Hazardous Waste,,,,,,,562112,,,,,,1323222084776,Polycyclic aromatic compounds,NO,N590,N590,649749.0,YES,PBT,NO,Non_Metal,YES,YES,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.1,0.0,496.9,0.0,0.0,497.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.3,19.7,0.0,0.0,0.0,19.7,0.0,0.0,0.6,0.0,497.0,0.0,0.0,517.3,,,
2023,57201NGSND315WA,110000427850.0,WORKHORSE CABS LLC DBA CRENLO ENGINEERED CABS,315 AIRPORT DR,WATERTOWN,CODINGTON,SD,57201,,,44.92567,-97.15686,NAD83,TAXI WORKHORSE HOLDINGS LLC,103570289,TAXI WORKHORSE HOLDINGS LLC,,,,NO,333,Machinery,,,,,,,333120,,,,,,1323221936634,Nickel,NO,0007440020,7440-02-0,149674.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,8.389,0.0,8.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122026.31,122034.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122034.699,122036.599,0.0,0.0,1.9,3.188,122031.511,0.0,0.0,0.0,0.0,0.0,0.0,122036.599,,PRODUCTION,1.12
