1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,3704WLGLCT11LIF,110070262755.0,LG ELECTRONICS USA INC.,3525 JIM JOHNSON RD,CLARKSVILLE,MONTGOMERY,TN,37040,,,36.638854,-87.247564,NAD83,,,,,,,NO,335,Electrical Equipment,,,,,,,335220,,,,,,1323221819434,Methyl isobutyl ketone,NO,0000108101,108-10-1,24851.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,1194.0,0.0,0.0,1132.0,0.0,62.0,0.0,31.0,0.0,0.0,21970.0,0.0,23195.0,,PRODUCTION,1.1
2023,38127MRCNY245NS,110070828402.0,AMERICAN YEAST CORP TENNESSEE,251 STILES DR,MEMPHIS,SHELBY,TN,38127,,,35.195724,-90.050823,NAD83,,,LALLEMAND INC,LALLEMAND INC,202233300,LALLEMAND INC,NO,311,Food,,,,,,,311999,,,,,,1323222323899,Ammonia,NO,0007664417,7664-41-7,152389.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.04,271.56,452.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.56,0.0,452.6,181.04,0.0,0.0,0.0,0.0,181.04,0.0,0.0,0.0,0.0,0.0,271.56,452.6,,PRODUCTION,0.95
2023,37087WYNNS104HA,110000370278.0,PARKER HANNIFIN CORP O-RING DIV,104 HARTMANN DR,LEBANON,WILSON,TN,37087,,,36.21732,-86.32041,NAD83,PARKER HANNIFIN CORP,004175550,PARKER HANNIFIN CORP,,,,NO,325,Chemicals,,,,,,,325212,326299.0,,,,,1323222045460,Zinc compounds,NO,N982,N982,649699.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,6.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,997.7,0.0,0.0,7.7,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.7,,PRODUCTION,1.02
2023,38474SMLTRARROW,110000863511.0,SMELTER SERVICE CORP,400 ARROW MINES RD,MOUNT PLEASANT,MAURY,TN,38474,,,35.52743,-87.20618,NAD83,,,,,,,NO,331,Primary Metals,,,,,,,331314,,,,,,1323222075412,Manganese,NO,0007439965,7439-96-5,149625.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.0,25.5,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464676.0,0.0,0.0,0.0,0.0,0.0,0.0,464676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464676.0,464885.5,0.0,0.0,209.5,464676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464885.5,,PRODUCTION,1.0
2023,37134NLNDCCONAL,110038164367.0,HOOD CONTAINER CORP,2877 SCEPTER RD,WAVERLY,HUMPHREYS,TN,37185,,,36.083371,-87.93641,NAD83,,,HOOD CONTAINER CORP,,,,NO,322,Paper,,,,,,,322120,,,,,,1323222002812,Hydrogen sulfide,NO,0007783064,7783-06-4,154518.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,35844.0,3710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39554.0,0.0,0.0,39554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39554.0,,PRODUCTION,1.01
2023,3835WBRVNC58ELL,110071043624.0,BRAVO INC.,58 ELLIOT POWER DR,LEXINGTON,HENDERSON,TN,38351,,,35.719736,-88.381552,NAD83,S BRAVO SYSTEMS,602328429,S BRAVO SYSTEMS,,,,NO,326,Plastics and Rubber,,,,,,,326199,,,,,,1323221978164,Styrene,NO,0000100425,100-42-5,19414.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.0,23811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23811.0,0.0,0.0,23811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23811.0,,ACTIVITY,0.68
2023,38108BCKMN1256N,110000373934.0,BUCKMAN LABORATORIES INC,1256 N MCLEAN BLVD,MEMPHIS,SHELBY,TN,38108,,,35.171,-89.99559,NAD83,BUCKMAN LABORATORIES INC,007023658,BUCKMAN LABORATORIES INC,,,,NO,325,Chemicals,,,,,,,325998,,,,,,1323222169284,Maleic anhydride,NO,0000108316,108-31-6,25015.0,YES,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2023,37874MSTRM313IN,110028259765.0,MASTERMELT AMERICA,319 IND US TRIAL PARK RD,SWEETWATER,MONROE,TN,37874,,,35.609479,-84.454174,NAD83,,,,,,,NO,331,Primary Metals,,,,,,,331492,,,,,,1323221537640,Phenol,NO,0000108952,108-95-2,25510.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,,PRODUCTION,1.0
2023,37918GRNWY4320G,110002106756.0,CORECHEM INC.,4320 GREENWAY DR,KNOXVILLE,KNOX,TN,37918,,,36.032309,-83.894905,NAD83,,,,,,,NO,4246,Chemical Wholesalers,,,,,,,424690,,,,,,1323221632298,Nitric acid,NO,0007697372,7697-37-2,152686.0,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.0,661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.0,666.0,0.0,0.0,5.0,0.0,661.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,,PRODUCTION,1.01
2023,37086QLTYN130JO,110000820791.0,QUALITY INDUSTRIES LLC.,130 JONES BLVD,LA VERGNE,RUTHERFORD,TN,37086,,,36.00675,-86.59305,NAD83,,,,,,,NO,336,Transportation Equipment,,,,,,,336370,,,,,,1323221630698,Nickel,NO,0007440020,7440-02-0,149674.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23137.0,0.0,0.0,0.0,23137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23137.0,0.0,0.0,23137.0,,PRODUCTION,1.0
