1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,5302WBRDLYN16W1,110055498554.0,BRADLEY CORP,N106 W13500 BRADLEY WAY,GERMANTOWN,WASHINGTON,WI,53022,,,43.213139,-88.077285,NAD83,BRADLEY CORP,,BRADLEY CORP,,,,NO,332,Fabricated Metals,,,,,,,332999,,,,,,1323221970181,Nickel,NO,0007440020,7440-02-0,149674.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27759.0,0.0,0.0,0.0,27759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27759.0,0.0,0.0,27759.0,,PRODUCTION,0.9
2023,54467SWHTC1075P,110000422105.0,ONLINE PACKAGING INC,4311 LIBERTY LN,PLOVER,PORTAGE,WI,54467,,,44.45108,-89.575916,NAD83,,,,,,,NO,325,Chemicals,,,,,,,325612,,,,,,1323222386183,Methanol,NO,0000067561,67-56-1,4283.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,PRODUCTION,1.0
2023,54729CRYRS234CA,110000422784.0,TTM TECHNOLOGIES N.A. LLC,234 CASHMAN DR,CHIPPEWA FALLS,CHIPPEWA,WI,54729,,,44.94116,-91.36088,NAD83,TTM TECHNOLOGIES INC,092280015,TTM TECHNOLOGIES INC,,,,NO,334,Computers and Electronic Products,,,,,,,334412,,,,,,1323221966587,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616.0,NO,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5720.7,51486.3,57207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5720.7,0.0,0.0,1130.63,0.0,0.0,1130.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51486.3,0.0,58337.63,5720.7,0.0,0.0,0.0,0.0,5720.7,0.0,0.0,0.0,1130.63,0.0,51486.3,58337.63,,PRODUCTION,0.66
2023,5307WKCKHF1151M,110067715306.0,KICKHAEFFER MANUFACTURING CO LLC,1151 MINERAL SPRINGS DR,PORT WASHINGTON,OZAUKEE,WI,53074,,,43.37453,-87.88739,NAD83,,,,,,,NO,332,Fabricated Metals,,,,,,,332119,,,,,,1323221706411,Chromium,NO,0007440473,7440-47-3,150060.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2314.0,0.0,0.0,0.0,0.0,0.0,0.0,2314.0,0.0,97935.0,0.0,0.0,0.0,97935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100249.0,2319.0,0.0,0.0,5.0,2314.0,0.0,0.0,0.0,0.0,97935.0,0.0,0.0,100254.0,,PRODUCTION,1.1
2023,53563XXNCH1012T,110000419903.0,EVONIK  CORP,337 VINCENT ST,MILTON,ROCK,WI,53563,,,42.781111,-88.968889,NAD83,EVONIK CORP,094361458,EVONIK CORP,RAG-STIFTUNG,312625019,RAG-STIFTUNG,NO,325,Chemicals,,,,,,,325613,,,,,,1323222286888,Chloromethane,NO,0000074873,74-87-3,5116.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,39.0,2732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2771.0,0.018,0.012,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,3.8,0.0,1468.8,0.0,0.0,0.0,0.0,1468.812,0.0,1472.63,2771.018,0.0,0.0,2771.0,0.0,0.018,0.0,3.8,11497.0,0.0,0.0,1468.812,15740.63,,PRODUCTION,0.89
2023,53126SPCLT4221C,110005543545.0,SPECIALTY TAPES LLC,4221 COURTNEY RD,FRANKSVILLE,RACINE,WI,53126,,,42.76743,-87.95711,NAD83,,,,,,,NO,322,Paper,,,,,,,322220,,,,,,1323221773613,Xylene (mixed isomers),NO,0001330207,1330-20-7,84970.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,541.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,541.05,0.0,0.0,541.05,0.0,0.0,0.0,364.0,0.0,0.0,23876.0,0.0,24781.05,,PRODUCTION,1.12
2023,54220JGMNN1324S,110000421295.0,JAGEMANN PLATING CO,1324 S 26TH ST,MANITOWOC,MANITOWOC,WI,54220,,,44.08278,-87.68194,NAD83,,,,,,,NO,332,Fabricated Metals,,,,,,,332813,,,,,,1323221749233,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,N090,N090,649475.0,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,82.68,0.0,82.68,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32608.0,0.0,0.0,0.0,0.0,0.0,32694.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32694.24,32695.17,0.0,0.0,0.93,32670.837,23.403,0.0,0.0,0.0,0.0,0.0,0.0,32695.17,,PRODUCTION,0.94
2023,54216KWNFB520NM,110005541574.0,KEWAUNEE FABRICATIONS LLC,520 N MAIN ST,KEWAUNEE,KEWAUNEE,WI,54216,,,44.55172,-87.70324,NAD83,OSHKOSH CORP,006070445,OSHKOSH CORP,,,,NO,332,Fabricated Metals,,,,,,,332999,,,,,,1323221767039,Manganese,NO,0007439965,7439-96-5,149625.0,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12256.0,0.0,0.0,0.0,12256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12256.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,12256.0,0.0,0.0,12291.0,,PRODUCTION,0.96
2023,53085LDRCH6100H,110000605872.0,ALDRICH CHEMICAL CO LLC,5485 COUNTY RD V,SHEBOYGAN FALLS,SHEBOYGAN,WI,53085,,,43.67406,-87.78147,NAD83,EMD HOLDING CORP.,963709014,EMD HOLDING CORP,,,MERCK KGAA,NO,325,Chemicals,,,,,,,325199,,,,,,1323222062693,"N,N-Dimethylformamide",NO,0000068122,68-12-2,4416.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,,PRODUCTION,0.8
2023,54153CRSRS804PE,110009515818.0,KCS INTERNATIONAL INC CRUISERS YACHTS  DIV PLANT 1,804 PECOR ST,OCONTO,OCONTO,WI,54153,,,44.88661,-87.87173,NAD83,MARINEMAX PRODUCTS INC,002929946,MARINEMAX PRODUCTS INC,,,,NO,336,Transportation Equipment,,,,,,,336612,,,,,,1323221597964,Methyl methacrylate,NO,0000080626,80-62-6,8458.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,652.0,5870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,501.0,0.0,589.0,6610.0,0.0,0.0,6522.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,501.0,7111.0,,PRODUCTION,1.0
